WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
80.0,6.0,7.0,0.4,4.0,3.3,97.0,1030.0,14.8,18.7,3.2,,,
90.0,6.0,7.0,,,,,1030.1,14.8,18.7,3.0,,,
80.0,6.0,7.0,,,,,1030.1,14.9,18.7,3.4,,,
80.0,6.0,7.0,0.4,4.0,3.3,111.0,1029.9,15.0,18.7,3.7,,,
90.0,6.0,8.0,,,,,1030.1,15.0,18.7,4.0,,0.0,
80.0,5.0,6.0,0.4,,3.3,89.0,1030.0,15.0,18.7,4.9,,,
90.0,6.0,8.0,0.4,3.0,3.3,89.0,1029.9,15.1,18.8,5.2,,,
90.0,6.0,9.0,,,,,1029.7,15.2,18.8,5.0,,,
90.0,7.0,9.0,,,,,1029.8,15.4,18.8,5.2,,,
90.0,8.0,9.0,0.4,4.0,3.2,113.0,1029.7,15.5,18.8,5.0,,,
90.0,7.0,9.0,,,,,1029.9,15.6,18.8,5.6,,-0.3,
90.0,7.0,9.0,0.5,,3.2,96.0,1029.6,15.5,18.8,5.3,,,
90.0,8.0,10.0,0.5,3.0,3.2,96.0,1029.3,15.6,18.8,5.7,,,
90.0,7.0,9.0,,,,,1029.4,15.6,18.8,5.2,,,
